itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
385510,2,KODEX K-신재생에너지액티브,10155,2,95,0.94,10183.0,5.517,2848,29,660
174360,4,KBSTAR 중국본토대형주CSI100,18310,2,240,1.33,18096.0,-13.5407,546,10,641
114820,6,TIGER 국채3년,106530,5,-410,-0.38,106587.0,-0.8861,1,0,639
200250,4,KOSEF 인도Nifty50(합성),17790,2,265,1.51,17246.0,-6.4835,2657,47,614
302190,6,TIGER 중장기국채,48740,5,-220,-0.45,48709.0,-2.0017,4069,198,604
387280,2,TIGER 퓨처모빌리티액티브,10060,2,45,0.45,10079.0,-0.9887,967,9,592
396510,4,TIGER 차이나클린에너지SOLACTIVE,8860,2,90,1.03,8821.0,-5.7496,653,5,585
391600,4,KINDEX 미국친환경그린테마INDXX,9130,2,390,4.46,9146.0,-0.4556,16,0,584
310960,1,TIGER 200TR,18830,2,60,0.32,18850.0,-5.8913,36,0,584
332500,1,KINDEX 200TR,21590,2,80,0.37,21599.0,-5.8644,30,0,583
123310,3,TIGER 인버스,5005,5,-10,-0.2,5005.0,5.9134,788009,3928,581
396500,2,TIGER Fn반도체TOP10,8640,2,40,0.47,8652.0,-8.9659,51530,446,570
099140,4,KODEX 차이나H,15695,2,115,0.74,15532.0,-17.4789,182,2,565
371470,4,TIGER 차이나바이오테크SOLACTIVE,7310,2,140,1.95,7188.0,-10.7099,3466,25,564
233160,3,TIGER 코스닥150 레버리지,11165,2,235,2.15,11183.0,-3.0169,61545,692,558
354350,4,HANARO 글로벌럭셔리S&P(합성),15505,2,250,1.64,15514.0,-17.9398,330,5,529
387270,4,TIGER 글로벌BBIG액티브,9720,2,205,2.15,9719.0,-13.0256,344,3,528
361580,1,KBSTAR 200TR,18175,2,55,0.3,18190.0,-6.041,451,8,509
315960,2,KBSTAR 대형고배당10TR,14920,3,0,0.0,14947.0,-9.849,372,5,507
204450,4,KODEX 차이나H레버리지(H),2535,2,70,2.84,2477.0,-44.2308,57427,145,504
419890,6,히어로즈 단기채권ESG액티브,100070,3,0,0.0,100076.0,,0,0,500
341850,7,TIGER 리츠부동산인프라채권TR KIS,5790,3,0,0.0,5818.0,2.8419,5,0,495
400590,4,SOL 글로벌탄소배출권선물IHS(합성),12800,5,-115,-0.89,12815.0,-0.8826,3629,46,486
152380,6,KODEX 국채선물10년,63555,5,-550,-0.86,63549.0,-2.9889,467,29,484
256440,4,KINDEX 인도네시아MSCI(합성),10295,2,60,0.59,10153.0,7.7935,701,7,484
117680,2,KODEX 철강,8840,2,15,0.17,8864.0,4.4625,21816,193,483
371450,4,TIGER 글로벌클라우드컴퓨팅INDXX,8265,2,295,3.7,8226.0,-19.1274,505,4,473
385720,1,TIMEFOLIO Kstock액티브,8995,2,105,1.18,8975.0,-3.84,141,1,468
306520,3,HANARO 200선물인버스,10365,5,-40,-0.38,10378.0,5.9572,522,5,466
122260,6,KOSEF 통안채1년,101260,3,0,0.0,101268.0,0.2028,0,0,466
